Group,UUID,Bugs per LoC
Assisted,0640be89-ee5f-4846-8e14-40fdc574d7d3,0.10638297872340426
Assisted,0ed7147a-475a-438b-8eee-c19d9d380739,0.13
Assisted,18ced82d-deec-4f66-9270-7770063fdf26,0.17777777777777778
Assisted,1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,0.2631578947368421
Assisted,26a41023-c10e-41cc-b9e1-8103dc46f264,0.0989010989010989
Assisted,3533dacf-349b-4581-bc32-6b9f015199c1,0.09090909090909091
Assisted,36deba30-9345-480d-8221-387f5192f83d,0.12568306010928962
Assisted,3cff10bf-23d9-48f4-9f45-96a223a8e2de,0.18181818181818182
Assisted,514e6c1d-f935-474d-899e-96e27d5babd3,0.18181818181818182
Assisted,5a790fe9-4950-4f24-903a-a7440f7f826f,0.24786324786324787
Assisted,7193a853-f8dd-423a-90be-39d0023d598e,0.09580838323353294
Assisted,74bd8618-cc17-42a6-8657-abebc4b6b500,0.14
Assisted,925cb076-503f-4a8e-b8d9-0aac9efe5955,0.1889763779527559
Assisted,a3edd088-a9ab-4b80-ae98-01ffcfca615b,0.30303030303030304
Assisted,a4b3a969-44a1-4cea-87f5-86393eb85908,0.12173913043478261
Assisted,a5ba06a2-cd4d-4aed-92ac-eeee80fe3e73,0.09941520467836257
Assisted,a80d5d0f-724e-4a28-8af1-02ca84993567,0.0948905109489051
Assisted,a974cab3-f095-4360-969e-9942edfdedc1,0.1702127659574468
Assisted,b59feaf2-4c48-4ec0-8d00-3428362914a7,0.2608695652173913
Assisted,be6fa0a5-e7ff-4ae0-b846-57d9385acd84,0.11538461538461539
Assisted,c23b2615-700f-48f2-b33d-3433d1c25bb6,0.09313725490196079
Assisted,dac37585-9926-4e20-8ac1-40addd42f1a8,0.1
Assisted,dc47e379-a3ba-464c-aa89-69374080111a,0.21739130434782608
Assisted,ddac8637-a99c-458d-bff5-916acb92e259,0.16
Assisted,e04ce3f6-46eb-465e-9828-5e768febf9be,0.09012875536480687
Assisted,ec83a892-5cfa-46bf-aab8-673aee747cb8,0.10067114093959731
Assisted,fd621e01-4962-4699-b49a-012c08563cb5,0.23076923076923078
Assisted,ff36e2ef-af58-426f-97ae-dc8ba80ff4a0,0.1323529411764706
Autopilot,cushman-001_00,0.10119047619047619
Autopilot,cushman-001_01,0.06432748538011696
Autopilot,cushman-001_02,0.07692307692307693
Autopilot,cushman-001_03,0.16071428571428573
Autopilot,cushman-001_04,0.17032967032967034
Control,035a8eed-29c0-4606-814d-4cb786d0b9de,0.12209302325581395
Control,1f53c71a-e1b9-4b65-a11e-c15f3c38a6cf,0.05555555555555555
Control,212591de-3007-4e4d-a0df-67d22d6c5f91,0.1095890410958904
Control,275f0df3-1f22-43e1-b37c-147169908268,0.19444444444444445
Control,40a638f7-3fe3-43b0-b6cd-c47427778724,0.1652892561983471
Control,4992045a-4e79-4768-a0e8-8a8219c7b8d5,0.12903225806451613
Control,549eca81-c8f8-4237-9237-220ab72ac8cf,0.13496932515337423
Control,599ce961-34d5-427d-83bd-8ca692a7e766,0.19148936170212766
Control,74a8a6f6-fdda-4725-b99d-e6089cf74b51,0.08333333333333333
Control,752045ea-d911-4015-a0e5-66f513cb8751,0.2
Control,833d22d1-766e-4e96-af92-180a3c4a2d99,0.12735849056603774
Control,949d88c5-3896-4e45-a42e-8bff4c950949,0.42857142857142855
Control,94cc70d0-7086-4a40-894a-433c90f7d9c4,0.16184971098265896
Control,9702f54c-200b-41f5-9fc4-971af3d86785,0.09767441860465116
Control,a391803d-b2e8-47cd-8319-305aae3983bc,0.09782608695652174
Control,b0ce9d89-f33e-4770-abfb-11e9830da4c4,0.22857142857142856
Control,bbea417b-a3f1-451b-a25d-d9dfb2c8aed2,0.23529411764705882
Control,c8a48b56-ce2e-4d25-8dd8-a23b5e6549b5,0.1839080459770115
Control,caa12fcb-10a7-4f65-997b-0e1b1ba2c96d,0.08333333333333333
Control,e5d2269a-cb40-4643-8134-13bc23ce41a7,0.125
Control,e71766a5-b1da-462f-8ea5-a7e12f82f58e,0.17647058823529413
Control,f0e25db0-7a42-4c33-a22c-17b79e580330,0.75
Control,f928b19b-6a98-4ed9-9c09-bfdf78073fd2,0.21621621621621623
Control,fbf1986f-db73-4988-af05-0d3cb48dd0c9,0.25925925925925924
